,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000021806,-7.77427030550321,-5.32122384988326,-0.981218582247979,-0.981218582247979,-2.25496362159301,-0.306504460079825,Nid2,0.00970399717428897,-1.04285046790713,no,no
ENSMUSG00000028412,-6.90626925197616,-3.24556915666638,-0.452870114883684,-0.452870114883684,-2.25781318778892,-0.312149392790697,Slc44a1,-0.0800227225609965,-2.97703958450303,no,yes
ENSMUSG00000022324,-9.81218582247976,-6.41565996085215,-0.830261877286749,-0.830261877286749,-2.2659765002511,-0.324531754175359,Matn2,-0.365764275609288,-4.58309869882859,no,no
ENSMUSG00000010067,-7.69879195302258,-4.60417950131744,-0.641565996085218,-0.641565996085218,-2.26895305791873,-0.326129362034337,Rassf1,-0.00791754443077573,1.80171158280337,no,no
ENSMUSG00000043631,-9.17061982639455,-4.86835373499958,-1.16991446344951,-1.16991446344951,-2.27331955443337,-0.332953655447858,Ecm2,0.216836503991349,-2.48923770054691,no,no
ENSMUSG00000050212,-7.3214001906195,-4.71739703003834,-0.679305172325522,-0.679305172325522,-2.27775047678887,-0.33380799751228,Eva1b,-0.79861527543293,-3.00350799115924,no,no
ENSMUSG00000070594,-5.84957231724757,-3.13235162794546,-0.452870114883684,-0.452870114883684,-2.27827763990658,-0.33380799751228,Gm4788,-0.116122675354005,-4.29332642718228,no,no
ENSMUSG00000029250,-7.88748783422412,-4.26452691515467,-0.641565996085218,-0.641565996085218,-2.27842029686326,-0.33380799751228,Polr2b,-0.605250736166803,-0.161686689136969,no,no
ENSMUSG00000033565,-8.00070536294505,-5.28348467364296,-0.71704434856583,-0.71704434856583,-2.28086398456215,-0.33380799751228,Rbfox2,-0.161105461997692,-1.74742218539106,no,no
ENSMUSG00000027408,-8.56679300654963,-5.20800632116235,-0.792522701046445,-0.792522701046445,-2.28107362864843,-0.33380799751228,Cpxm1,0.129523929183916,-0.157960841323338,no,no
ENSMUSG00000057367,-8.94418476895271,-4.94383208748018,-0.981218582247979,-0.981218582247979,-2.28270218594846,-0.33380799751228,Birc2,1.1255843402085,1.01270412999438,no,no
ENSMUSG00000046768,-8.56679300654963,-6.18922490341031,-1.54730622585258,-1.54730622585258,-2.28988459917435,-0.33823005129184,Rhoj,-0.442300154489047,-3.24450791023805,no,no
ENSMUSG00000062980,-8.07618371542565,-4.56644032507711,-0.679305172325522,-0.679305172325522,-2.29209143343069,-0.342089680195498,Cped1,-0.6879662924616,-4.03067970977372,no,no
ENSMUSG00000038664,-7.01948678069706,-3.84939597651129,-0.603826819844911,-0.603826819844911,-2.29682255715645,-0.34698418813746,Herc1,-0.208542832014249,0.945396080281481,no,no
ENSMUSG00000030917,-6.75531254701492,-4.07583103395313,-0.641565996085218,-0.641565996085218,-2.29878696486723,-0.347421820634489,Tmem159,-0.694615438307893,-2.32301994827289,no,no
ENSMUSG00000062661,-8.71774971151087,-6.64209501829399,-2.07565469321687,-2.07565469321687,-2.3004775903571,-0.347421820634489,Ncs1,-1.13148277871467,1.76652439114649,no,no
ENSMUSG00000033898,-6.11374655092971,-3.24556915666638,-0.490609291123988,-0.490609291123988,-2.30364930531469,-0.347421820634489,Cfhr2,-0.381400660758953,-6.64098058250639,no,no
ENSMUSG00000091273,-7.2836610143792,-4.26452691515467,-0.71704434856583,-0.71704434856583,-2.30456908889692,-0.347421820634489,NA,NA,NA,no,no
ENSMUSG00000004558,-9.77444664623946,-7.35913936685984,-2.00017634073626,-2.00017634073626,-2.31055700076947,-0.352809975383385,Ndrg2,-1.30535533564445,-2.79226021986204,no,no
ENSMUSG00000029070,-7.66105277678228,-4.98157126372048,-0.792522701046445,-0.792522701046445,-2.3112624571498,-0.352809975383385,Mxra8,-0.29540386986833,0.715887909396643,no,yes
ENSMUSG00000023885,-8.68001053527057,-6.37792078461185,-1.96243716449596,-1.96243716449596,-2.31258369456343,-0.352809975383385,Thbs2,-0.904437915179373,-4.88788063422907,no,no
ENSMUSG00000085208,-7.84974865798381,-5.35896302612356,-0.868001053527057,-0.868001053527057,-2.3149140824878,-0.352809975383385,NA,-0.765345045845022,-2.57341444826116,no,no
ENSMUSG00000026365,-5.05704961620112,-3.05687327546485,-0.5660876436046,-0.5660876436046,-2.32177508945821,-0.360915926666354,Cfh,-0.160974739606858,-6.39731942177327,no,no
ENSMUSG00000034118,-8.68001053527057,-5.92505066972817,-0.943479406007672,-0.943479406007672,-2.32552814187982,-0.366722709110476,Tpst1,-0.123623249576384,2.0339316820347,no,no
ENSMUSG00000019326,-7.51009607182104,-4.67965785379804,-0.71704434856583,-0.71704434856583,-2.34524611623808,-0.393990092519474,Aoc3,-1.14302019932454,-3.40263933422234,no,yes
ENSMUSG00000090952,-7.05722595693736,-4.11357021019343,-0.71704434856583,-0.71704434856583,-2.34831867308116,-0.396278588544295,NA,0.379466336904207,0.987083012822417,no,no
ENSMUSG00000073119,-7.05722595693736,-3.47200421410821,-0.603826819844911,-0.603826819844911,-2.36394386663999,-0.417229485591121,Speer4a,0.697480478565709,1.10028009693121,no,no
ENSMUSG00000046562,-7.47235689558074,-5.09478879244142,-0.905740229767361,-0.905740229767361,-2.36854164521815,-0.421794816360454,Unc119b,0.498905229063664,-1.01893602087391,no,no
ENSMUSG00000039899,-8.68001053527057,-4.4532227963562,-0.792522701046445,-0.792522701046445,-2.37287031261014,-0.421794816360454,Fgl2,1.03921741829838,-1.1241959770806,no,no
ENSMUSG00000026768,-7.47235689558074,-4.86835373499958,-0.71704434856583,-0.71704434856583,-2.37394859720328,-0.421794816360454,Itga8,0.41903843604481,-1.88428203693492,no,no
ENSMUSG00000022358,-9.62348994127822,-7.1704434856583,-1.35861034465104,-1.35861034465104,-2.37438193346108,-0.421794816360454,Fbxo32,-0.505571194733594,-2.64477011074985,no,no
